Slovoforma,lemma,part_of_speech,letters_in_slovoforma,slogi_slovoforma,rang_frequency_NKRIA,IA_DWELL_TIME_%,IA_AVERAGE_FIX_PUPIL_SIZE,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_FIX_PROGRESSIVE,IA_FIRST_RUN_FIXATION_%,IA_REGRESSION_IN,IA_REGRESSION_OUT,IA_REGRESSION_PATH_DURATION,TRIAL_FIXATION_COUNT,sex,grade
мясо,мясо,S,4,2,4,0.0052,935,190,6774,0,0.0082,0,0,190,122,f,2
собаки,собака,S,6,3,5,0.0071,1085,190,19480,1,0.0088,0,0,190,113,f,1
которого,который,P,8,3,5,0.0185,1286,191,91,1,0.025,0,1,3893,40,f,2
трактор,трактор,S,7,2,3,0.0095,819,192,5218,0,0.0119,0,0,192,84,f,3
отправляется,отправляться,V,12,5,4,0.0117,2302,192,12386,0,0.0156,0,0,192,64,m,3
той,тот,P,3,1,5,0.0137,1200,192,10418,0,0.0154,0,0,192,65,f,3
через,через,PR,5,2,5,0.006,1046,192,2684,0,0.0094,0,0,672,106,m,2
пёс,пёс,S,3,1,3,0.0032,1745,194,59120,1,0.0037,0,0,194,267,f,1
белая,белый,A,5,3,4,0.0113,1075,194,20864,0,0.013,1,0,194,77,f,2
спит,спать,V,4,1,4,0.0105,1576,194,12272,1,0.0125,0,0,194,80,m,3
она,она,P,3,1,5,0.0169,2259,194,9394,1,0.0227,0,0,194,44,f,3
августе,август,S,7,3,4,0.0052,1043,194,27938,1,0.0078,0,0,194,129,m,1
собака,собака,S,6,3,5,0.0083,1035,194,7266,0,0.0093,0,0,194,107,m,2
ешь,есть,V,3,1,3,0.0083,2304,196,19414,0,0.0108,0,0,498,93,f,3
бывал,быть,V,5,2,4,0.0053,1116,196,7170,0,0.0059,0,0,196,170,f,1
сиди,сидеть,V,4,2,3,0.0051,1596,196,23042,0,0.0074,0,0,196,135,f,2
конь,конь,S,4,1,4,0.0097,841,196,1300,0,0.0119,0,0,196,84,f,3
народ,народ,S,5,2,5,0.0093,1207,196,3592,0,0.0137,0,0,196,73,m,1
шуба,шуба,S,4,2,3,0.0107,900,196,19706,1,0.0128,0,1,900,78,f,3
бывал,быть,V,5,2,4,0.008,1043,198,4406,0,0.0098,0,0,198,102,f,3
щёки,щека,S,4,2,3,0.004,1926,198,7344,0,0.0057,0,0,198,174,f,1
шуба,шуба,S,4,2,3,0.0129,645,198,17628,1,0.0161,0,0,198,62,f,2
жук,жук,S,3,1,3,0.0033,1173,198,14562,0,0.0069,1,0,198,144,m,2
красные,красный,A,7,3,5,0.0093,1460,198,19326,1,0.0123,0,0,198,81,m,1
собаки,собака,S,6,3,5,0.0085,1063,198,16524,0,0.0093,0,0,198,107,m,2
мясо,мясо,S,4,2,4,0.0142,1222,198,9136,0,0.0154,0,0,198,65,f,3
бросила,бросать,V,7,3,4,0.0042,692,198,22708,0,0.0054,0,0,198,185,f,1
освоил,осваивать,V,6,3,1,0.004,1262,200,54444,1,0.0065,0,0,200,154,m,2
гоняет,гонять,V,6,3,1,0.0034,896,200,75104,1,0.0052,0,1,1156,193,f,2
льдам,лед,S,5,2,1,0.0051,1455,200,35972,1,0.0065,0,0,200,155,f,1
летом,лето,ADV,5,2,5,0.0048,1784,200,34104,1,0.0069,0,1,7984,145,f,1
помощью,помощь,S,7,3,5,0.0133,1262,200,5702,0,0.0164,0,0,452,61,f,1
бывал,быть,V,5,2,4,0.0041,1271,202,3210,0,0.0057,0,0,6562,176,m,2
пёс,пёс,S,3,1,3,0.0053,1973,202,38714,1,0.0074,0,0,202,135,f,2
дикие,дикий,A,5,2,4,0.0159,1818,202,3958,0,0.0185,0,0,202,54,f,3
так,так,P,3,1,5,0.0196,1046,202,6578,0,0.025,1,0,202,40,f,2
там,там,P,3,1,5,0.0075,1025,202,9270,0,0.011,0,0,202,91,f,2
лед,S,5,1,476,3,0.0063,1536,202,4518,0,0.0083,0,0,416,120,f,3
собака,собака,S,6,3,5,0.0075,1220,202,29426,1,0.0088,0,0,202,113,f,1
пёс,пёс,S,3,1,3,0.0109,2141,204,23292,1,0.0123,0,0,204,81,m,3
сразу,сразу,ADV,5,2,4,0.0082,1566,204,22178,1,0.0087,0,1,420,115,m,1
медведя,медведь,S,7,3,4,0.008,1869,204,3094,0,0.0105,0,0,204,95,f,2
деревьям,дерево,S,8,3,3,0.0174,968,204,5080,0,0.0238,0,0,406,42,f,2
дикие,дикий,A,5,2,4,0.0071,1065,204,7546,0,0.0106,0,0,204,94,m,2
мышке,мышка,S,5,2,1,0.014,1478,204,2502,0,0.0164,1,0,204,61,f,3
собака,собака,S,6,3,5,0.0106,1206,204,20364,1,0.0141,0,0,204,71,f,2
мясо,мясо,S,4,2,4,0.0098,1226,204,10990,0,0.0132,0,0,204,76,m,1
ребенок,ребенок,S,7,3,4,0.0062,895,206,27648,1,0.0072,0,0,206,138,m,2
ребенок,ребенок,S,7,3,4,0.0099,1581,206,15176,0,0.0116,0,0,206,86,f,3
затем,затем,CON,5,2,5,0.0125,2057,206,10894,0,0.0156,0,0,1002,64,m,3
одно,один,NUM,4,2,5,0.021,1011,206,3530,0,0.0278,0,0,206,36,f,2
когда,когда,ADV,5,2,5,0.018,2557,206,2194,0,0.0227,0,0,206,44,f,3
когда,когда,ADV,5,2,5,0.0172,1342,206,1592,0,0.0227,0,0,206,44,f,3
собака,собака,S,6,3,5,0.0147,967,206,488,0,0.0192,1,0,206,52,f,2
было,быть,V,4,2,5,0.0056,853,206,28120,1,0.0082,0,0,206,122,f,2
мяса,мясо,S,4,2,4,0.0099,1231,206,14592,0,0.0132,0,0,206,76,m,1
чернильницу,чернильница,S,11,4,2,0.0084,1056,208,21312,1,0.0098,0,0,208,102,f,3
себе,себя,P,4,2,5,0.0159,1509,208,7772,0,0.0159,0,0,208,63,f,3
снова,снова,ADV,5,2,5,0.0159,1387,208,10120,0,0.0159,0,0,208,63,f,3
спит,спать,V,4,1,4,0.0098,1381,208,13680,1,0.0137,0,0,208,73,m,1
разве,разве,PART,5,2,4,0.0093,865,210,10868,0,0.0119,0,0,210,84,f,2
воспитывают,воспитывать,V,11,5,1,0.0042,1075,210,27716,0,0.0057,0,0,620,176,m,2
заменяет,заменять,V,8,4,3,0.0287,912,210,2910,0,0.037,0,0,210,27,f,2
может,может,PART,5,2,4,0.0034,983,212,56548,0,0.0052,0,0,212,191,m,2
нём,он,P,3,1,5,0.0062,1380,212,38436,1,0.0079,0,0,212,127,f,3
одно,один,NUM,4,2,5,0.0149,1169,212,6490,0,0.0161,0,0,212,62,m,1
реку,река,S,4,2,4,0.0091,1014,212,4388,0,0.0093,0,0,212,107,m,2
было,быть,V,4,2,5,0.0061,1243,212,30048,1,0.0092,0,0,212,109,m,2
было,быть,V,4,2,5,0.0102,1223,212,16286,1,0.0132,0,0,212,76,m,1
ребенок,ребенок,S,7,3,4,0.0086,1344.5,74,19196,0,0.0174,1,0,214,115,m,1
астры,астра,S,5,4,2,0.0155,1380,110,14292,1,0.0147,1,0,110,68,f,3
щёку,щека,S,4,2,3,0.0043,1019,214,14792,0,0.0057,1,0,214,176,m,2
тёплая,теплый,A,6,3,4,0.0119,945,214,18244,1,0.0143,0,0,214,70,f,3
белого,белый,A,6,3,4,0.013,3119,214,1796,0,0.0156,0,0,214,64,m,3
снова,снова,ADV,5,2,5,0.01,1301,214,14758,1,0.0137,0,0,214,73,m,1
посадили,посадить,V,8,4,4,0.0059,1331,214,7342,0,0.0073,0,0,214,137,f,1
зубах,зуб,S,5,2,4,0.0066,1525,214,4734,0,0.0083,1,0,214,120,f,3
зубах,зуб,S,5,2,4,0.0059,1043,214,4528,0,0.0082,0,0,214,122,f,2
сиди,сидеть,V,4,2,3,0.0128,500,216,13348,1,0.0149,0,1,580,67,f,2
медведя,медведь,S,7,3,4,0.0063,1449,216,5266,0,0.0079,0,0,216,127,f,3
мясо,мясо,S,4,2,4,0.0112,1298,216,4748,0,0.0127,0,0,216,79,f,1
льдам,лед,S,5,2,1,0.0121,976,218,14586,1,0.0143,0,0,218,70,f,3
мальчики,мальчик,S,8,3,4,0.0138,537,218,2824,1,0.0161,0,0,218,62,f,2
мясо,мясо,S,4,2,4,0.0067,1458,218,4972,0,0.0083,0,0,218,120,f,3
там,там,P,3,1,5,0.0156,1195,218,6268,0,0.0154,0,0,218,65,f,3
через,через,PR,5,2,5,0.006,911,218,3324,0,0.0082,0,0,218,122,f,2
сиди,сидеть,V,4,2,3,0.0044,888,220,34926,0,0.0057,0,0,396,176,m,2
выполняет,выполнять,V,9,4,4,0.0097,1016,220,8242,0,0.011,0,0,220,91,f,3
тёплая,теплый,A,6,3,4,0.0104,969,220,21108,1,0.0128,0,0,220,78,m,1
было,быть,V,4,2,5,0.0082,1231,220,22554,0,0.0088,1,0,220,113,f,1
разве,разве,PART,5,2,4,0.0076,1063,222,11744,0,0.0088,0,0,222,114,m,1
посадили,посадить,V,8,4,4,0.0128,806,222,3920,0,0.0137,0,0,222,73,f,3
собаки,собака,S,6,3,5,0.0118,2530,222,14580,0,0.0128,0,0,222,78,f,3
сразу,сразу,ADV,5,2,4,0.0133,530,224,17190,1,0.0149,0,0,224,67,f,2
трещат,трещать,V,6,2,2,0.025,1174,224,822,0,0.0312,0,0,224,32,f,3
поют,петь,V,4,2,4,0.012,1458,224,17118,0,0.0128,0,0,224,78,f,3
появились,появиться,V,9,4,5,0.0134,1145,224,9716,0,0.0132,0,0,224,76,f,2
августе,август,S,7,3,4,0.0062,1616,224,28954,1,0.0073,0,0,224,137,f,1
холодно,холодно,ADV,7,3,5,0.0147,697,226,13842,1,0.0161,0,0,226,62,f,2
когда,когда,ADV,5,2,5,0.0219,1355,226,1836,0,0.025,0,0,226,40,f,2
шла,идти,V,3,1,5,0.0094,1435,226,824,0,0.0098,0,0,226,102,f,3
работы,работа,S,6,3,5,0.01,981,228,10300,0,0.011,0,0,228,91,f,3
