Slovoforma,lemma,part_of_speech,letters_in_slovoforma,slogi_slovoforma,rang_frequency_NKRIA,IA_DWELL_TIME_%,IA_AVERAGE_FIX_PUPIL_SIZE,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_FIX_PROGRESSIVE,IA_FIRST_RUN_FIXATION_%,IA_REGRESSION_IN,IA_REGRESSION_OUT,IA_REGRESSION_PATH_DURATION,TRIAL_FIXATION_COUNT,sex,grade
разноцветные,разноцветный,A,12,4,3,0.0438,1121.5,136,15946,1,0.0519,0,0,810,77,m,3
льдам,лед,S,5,2,1,0.0232,1216.67,274,22116,1,0.008,0,0,536,125,f,1
рябчики,рябчик,S,7,2,2,0.0819,1084,394,5300,1,0.0625,0,1,1168,32,f,2
дрозды,дрозд,S,6,1,2,0.0371,1244.33,414,22258,1,0.023,1,0,556,87,m,1
луковицы,луковица,S,8,4,2,0.0425,1277.33,152,4420,1,0.0423,0,0,812,71,m,1
вовсе,вовсе,ADV,5,2,5,0.0337,1382,186,104,1,0.0098,0,1,15800,102,f,3
пёс,пёс,S,3,1,3,0.0218,1223.67,284,34506,1,0.0156,1,0,558,128,f,2
что,что,CON,3,1,5,0.0188,1554.33,400,7378,0,0.009,0,0,8526,111,m,1
живёт,жить,V,5,2,5,0.0213,1321.75,124,8930,0,0.0288,1,0,814,139,f,1
сразу,сразу,ADV,5,2,4,0.0164,1583.67,180,41018,1,0.0057,0,1,1448,174,f,1
дикие,дикий,A,5,2,4,0.0218,613.25,246,14050,0,0.0076,0,0,1672,132,f,1
мышка,мышка,S,5,2,3,0.0562,1528.33,270,10824,0,0.0476,0,0,1076,63,f,3
называют,называть,V,8,3,5,0.0233,1212.75,288,3552,0,0.032,0,0,814,125,f,1
стучат,стучать,V,6,2,3,0.0409,986.25,376,10756,0,0.0482,0,0,814,83,m,2
летом,лето,ADV,5,2,5,0.0451,950,336,16820,1,0.0286,1,0,528,70,f,3
при,при,PR,3,1,5,0.0432,1120,142,12006,1,0.022,1,1,3390,91,f,2
георгинов,георгин,S,9,4,1,0.0506,2295.25,152,6606,0,0.0548,0,0,816,73,m,3
народ,народ,S,5,2,5,0.0214,989.67,176,7116,0,0.0207,0,0,816,145,f,1
дощечке,дощечка,S,7,3,2,0.0373,1349.5,204,2212,0,0.0115,0,0,1446,87,m,1
переделках,переделка,S,10,4,1,0.0398,1227.33,218,5472,0,0.0405,0,0,926,74,f,3
несколько,несколько,ADV,9,3,5,0.0197,1451.33,316,15660,0,0.013,1,0,496,154,f,3
севера,север,S,6,2,4,0.0495,2631.33,358,832,0,0.0156,1,0,358,64,m,3
мышка,мышка,S,5,2,3,0.0454,1253.5,368,13394,0,0.0513,0,0,816,78,f,1
белая,белый,A,5,3,4,0.0206,1419,412,42728,1,0.0129,0,0,816,155,f,1
поют,петь,V,4,2,4,0.0698,1056.75,136,8770,1,0.0476,1,0,460,42,f,2
своё,свое,A,4,2,5,0.0351,960,178,18632,1,0.028,0,0,818,107,m,2
тундру,тундра,S,6,2,2,0.0384,1464.5,226,9586,0,0.0274,0,0,818,73,m,1
голуби,голубь,S,6,2,3,0.0254,1066.5,386,15740,0,0.022,0,0,818,91,f,1
мяса,мясо,S,4,2,4,0.0173,711.25,158,32978,0,0.0054,1,0,892,185,f,1
растения,растение,S,8,4,4,0.0205,1298,176,21820,0,0.007,0,0,3376,143,f,1
зубах,зуб,S,5,2,4,0.0129,1015.5,214,15944,0,0.0054,0,0,1218,186,f,1
сломанный,сломать,VP,9,3,1,0.022,1066,290,2172,0,0.0234,0,0,820,128,f,2
ребенок,ребенок,S,7,3,4,0.0346,2202.67,322,14494,1,0.0108,0,1,4752,93,f,3
летом,летом,ADV,5,2,5,0.028,1057.5,354,6128,0,0.0351,0,0,996,114,m,1
увидала,увидать,V,7,3,3,0.0154,1951.33,378,23346,0,0.0191,0,0,820,157,f,2
лошадей,лошадь,S,7,3,5,0.0166,1467.33,382,11808,0,0.0083,0,0,8566,121,m,1
сиди,сидеть,V,4,2,3,0.0133,1014,442,50616,1,0.0105,0,0,820,191,m,2
трактор,трактор,S,7,2,3,0.0107,1799.5,612,18420,0,0.0096,1,0,4964,209,f,1
собака,собака,S,6,3,5,0.0427,1189.2,112,430,0,0.0506,1,0,604,79,f,1
ребенок,ребенок,S,7,3,4,0.0202,1464,152,26674,1,0.0058,0,1,2718,172,f,1
освоил,осваивать,V,6,3,1,0.0246,929.5,240,30286,1,0.029,0,0,822,138,m,2
нём,он,P,3,1,5,0.0245,1545.5,310,32792,1,0.0238,0,0,822,84,m,1
весной,весна,ADV,6,2,5,0.0446,1240.25,198,336,1,0.026,1,0,330,77,m,3
воспитывают,воспитывать,V,11,5,1,0.0281,1098.33,236,12228,0,0.0263,0,0,824,114,m,1
что,что,CON,3,1,5,0.0174,743,266,15552,0,0.0062,1,0,266,162,f,2
чем,что,CON,3,1,5,0.026,1085,332,33134,1,0.0189,0,1,1126,106,m,2
разноцветные,разноцветный,A,12,4,3,0.0497,1088.33,462,13280,1,0.0455,0,0,824,66,f,3
затем,затем,CON,5,2,5,0.0386,1394,824,13910,1,0.0137,0,0,824,73,m,1
дощечке,дощечка,S,7,3,2,0.0252,865.75,248,3912,0,0.0388,0,0,826,103,f,2
отправляется,отправляться,V,12,5,4,0.0324,1834,264,18552,1,0.0316,0,0,826,95,f,2
сиди,сидеть,V,4,2,3,0.0167,1620.75,388,29086,1,0.0172,1,0,778,174,f,1
пёс,пёс,S,3,1,3,0.0334,1009.5,670,22276,1,0.0196,0,0,826,102,f,3
конь,конь,S,4,1,4,0.018,1744.5,688,2648,0,0.0136,0,0,826,147,f,1
весной,весна,ADV,6,2,5,0.0186,1773.8,124,408,1,0.0323,1,0,694,124,f,2
августе,август,S,7,3,4,0.0494,1116,136,12974,1,0.0263,1,0,300,76,f,2
несколько,несколько,ADV,9,3,5,0.0217,909.75,156,16882,0,0.0276,0,0,828,145,f,1
воспитывают,воспитывать,V,11,5,1,0.0216,1986,232,17342,0,0.0296,0,0,828,135,f,2
нём,он,P,3,1,5,0.0163,1079.5,156,49368,0,0.0106,0,0,1552,188,m,1
мальчики,мальчик,S,8,3,4,0.0195,902,248,9154,0,0.0154,0,0,830,130,f,2
сломанный,сломать,VP,9,3,1,0.0442,2486.75,252,1398,0,0.0494,1,0,830,81,m,3
собака,собака,S,6,3,5,0.0175,759.67,264,11720,0,0.0185,0,0,830,162,f,2
дощечке,дощечка,S,7,3,2,0.0593,1026.67,302,740,0,0.0385,1,0,614,52,f,2
переделках,переделка,S,10,4,1,0.0218,919.5,484,14416,0,0.0138,0,0,830,145,f,1
увидала,увидать,V,7,3,3,0.0441,2189.33,154,4598,0,0.0128,1,0,154,78,f,3
белые,белый,A,5,3,5,0.0464,1266,160,14800,1,0.0161,0,1,4364,62,f,3
гоняет,гонять,V,6,3,1,0.0369,787.5,172,23182,1,0.0238,0,0,832,84,f,2
переделках,переделка,S,10,4,1,0.0168,1015.25,260,10560,0,0.0057,1,0,1648,176,m,2
чернильницу,чернильница,S,11,4,2,0.0267,1459.75,318,31936,0,0.0161,0,0,976,124,f,3
красные,красный,A,7,3,5,0.0222,953,330,31062,1,0.0078,1,0,330,129,m,1
девочки,девочка,S,7,3,5,0.0196,782.75,400,1268,0,0.0308,0,0,832,130,f,2
весной,весна,ADV,6,2,5,0.021,1595,112,336,0,0.0326,1,0,834,92,m,1
так,так,P,3,1,5,0.0202,900.75,182,31218,0,0.0072,1,0,656,138,f,1
компьютер,компьютер,S,9,3,4,0.0408,651,218,5048,0,0.0345,0,0,834,87,f,3
переделках,переделка,S,10,4,1,0.0317,1441.33,406,7726,0,0.0286,0,0,834,105,m,1
себе,себя,P,4,2,5,0.0209,1368.5,432,31930,0,0.0069,1,0,1280,145,f,2
лед,S,5,1,476,3,0.0169,974.25,114,11144,0,0.0057,0,0,1150,174,m,2
работы,работа,S,6,3,5,0.0219,944.5,164,25958,0,0.0138,0,0,1008,145,f,1
затем,затем,CON,5,2,5,0.0219,1397.5,168,19190,0,0.0072,1,0,9186,139,f,1
золотая,золотой,A,7,3,4,0.0366,1425,168,17222,0,0.038,1,0,498,79,f,3
увидала,увидать,V,7,3,3,0.0287,1484.67,294,94,1,0.0137,0,1,9858,73,m,1
управляет,управлять,V,9,4,3,0.0317,1394.25,312,26260,1,0.0095,0,1,1100,105,m,1
мышка,мышка,S,5,2,3,0.0393,1051,358,15124,0,0.0267,0,0,836,75,m,1
зубах,зуб,S,5,2,4,0.0347,1384.5,380,3964,0,0.0392,0,0,836,102,f,3
луковицы,луковица,S,8,4,2,0.0519,2547.5,132,520,0,0.0274,1,0,388,73,m,3
трактором,трактор,S,9,3,2,0.0182,1776.5,184,46638,1,0.0136,0,0,838,147,f,1
реку,река,S,4,2,4,0.0312,1156.4,240,4362,0,0.0088,1,0,240,113,f,1
спит,спать,V,4,1,4,0.021,1380.33,254,17202,1,0.0138,0,1,3436,145,f,2
жители,житель,S,6,2,5,0.0457,999,330,506,0,0.0256,1,0,444,78,f,3
чем,что,CON,3,1,5,0.0158,1690,420,58110,1,0.0102,0,0,838,197,f,1
севера,север,S,6,2,4,0.025,1689,468,1338,0,0.0238,0,0,838,84,m,1
рябчики,рябчик,S,7,2,2,0.0421,956,524,14100,0,0.0361,0,0,838,83,m,2
небось,небось,ADV,6,2,3,0.0225,1114.5,678,35094,1,0.0156,0,0,838,128,f,2
увидала,увидать,V,7,3,3,0.036,1018.4,108,326,0,0.0093,1,0,6140,107,m,2
сельском,сельский,A,8,2,3,0.047,1760.5,214,14596,0,0.0125,1,0,674,80,m,3
своё,свое,A,4,2,5,0.0314,1184.67,252,19518,0,0.033,0,0,840,91,f,2
несправедливость,несправедливость,S,16,5,2,0.0404,1455.67,288,8896,0,0.0111,0,0,1654,90,m,3
белая,белый,A,5,3,4,0.022,1401.67,290,40472,1,0.0216,0,0,840,139,f,1
стучат,стучать,V,6,2,3,0.0256,1210.5,650,15040,0,0.0194,0,0,840,103,m,1
небось,небось,ADV,6,2,3,0.027,1461,156,30380,1,0.0081,0,1,3570,124,f,3
маленькая,маленький,A,9,4,5,0.0396,1222,188,18560,1,0.0533,0,0,842,75,m,1
умке,умке,S,4,2,1,0.0226,1012.67,208,33872,1,0.0231,0,0,842,130,f,2
подумала,подумать,V,8,4,5,0.023,781,622,10354,0,0.0164,0,0,842,122,f,2
чем,что,CON,3,1,5,0.0202,1298,842,43908,1,0.0091,0,0,842,110,f,1
умка,умка,S,4,2,1,0.0226,873.67,114,402,0,0.0077,1,0,6854,130,f,2
воспитание,воспитание,S,10,4,3,0.0221,2013.67,156,21228,0,0.0222,0,0,844,135,f,2
щёку,щека,S,4,2,3,0.0155,1287.33,176,4876,0,0.0061,0,0,1814,164,m,1
конь,конь,S,4,1,4,0.0182,1020,182,1868,0,0.011,0,0,472,182,m,1
сразу,сразу,ADV,5,2,4,0.0132,932.25,218,63068,1,0.0043,0,1,1202,230,f,3
сразу,сразу,ADV,5,2,4,0.0219,1326,232,35492,1,0.0069,1,1,780,145,m,3
которого,который,P,8,3,5,0.021,1096.25,112,520,0,0.0079,1,0,17422,126,m,2
собака,собака,S,6,3,5,0.0179,810,136,20486,0,0.0247,0,0,846,162,f,2
волною,волна,S,6,3,2,0.044,1022.25,184,17502,1,0.0141,1,0,184,71,f,2
было,быть,V,4,2,5,0.0148,1433.33,186,46068,1,0.018,0,0,846,167,m,1
горшок,горшок,S,6,2,2,0.0221,1939.25,218,3806,0,0.0074,1,0,218,135,f,2
деревьям,дерево,S,8,3,3,0.0453,1516.67,322,9314,0,0.0385,0,0,846,78,f,3
трещат,трещать,V,6,2,2,0.0453,1454.67,388,900,0,0.0128,0,0,1132,78,f,3
затем,затем,CON,5,2,5,0.0459,1421.33,424,12486,1,0.0375,0,0,846,80,m,3
пчёлка,пчелка,S,6,2,2,0.0262,1112.5,492,26152,0,0.022,0,0,1214,91,f,1
берлогу,берлога,S,7,3,2,0.0159,1954.25,146,30816,0,0.0255,0,0,1296,157,f,2
небось,небось,ADV,6,2,3,0.0569,999.67,392,16534,1,0.0345,1,0,588,58,f,2
сиди,сидеть,V,4,2,3,0.0272,1397,424,20876,0,0.0081,1,0,424,124,f,3
похожа,похожий,A,6,3,4,0.031,668.67,426,21056,1,0.0316,0,0,848,95,f,2
ешь,есть,V,3,1,3,0.0096,1124,676,56002,0,0.0075,0,0,848,265,f,1
чем,что,CON,3,1,5,0.0134,1099,848,65632,1,0.0054,0,0,848,186,f,1
горшок,горшок,S,6,2,2,0.015,1050,164,5634,0,0.0184,0,0,850,217,f,1
мышке,мышка,S,5,2,1,0.0507,1247.67,226,2006,0,0.0508,0,0,850,59,f,2
сразу,сразу,ADV,5,2,4,0.029,1146,320,23782,1,0.0088,0,1,1058,114,m,1
называют,называть,V,8,3,5,0.0203,1706,476,3868,0,0.0207,0,0,850,145,f,1
голуби,голубь,S,6,2,3,0.0373,1523.75,130,7004,0,0.038,1,0,660,79,f,3
молодые,молодой,A,7,4,5,0.02,1145.25,138,21506,0,0.0296,0,0,852,135,f,1
хозяйстве,хозяйство,S,9,3,4,0.0147,1492.2,122,41656,0,0.0195,1,0,722,205,f,1
семена,семена,S,6,3,4,0.0236,1574,164,4424,0,0.0073,0,0,1528,137,f,1
ешь,есть,V,3,1,3,0.0379,844,172,16348,1,0.0119,1,1,598,84,f,2
хозяйстве,хозяйство,S,9,3,4,0.0155,1839.2,172,39076,0,0.0226,0,0,854,221,f,1
зубах,зуб,S,5,2,4,0.0269,1065.5,312,4228,0,0.0377,0,0,854,106,m,2
мышку,мышка,S,5,2,3,0.0212,1510.33,400,39786,1,0.021,0,0,854,143,f,1
ешь,есть,V,3,1,3,0.0274,1551,432,23470,1,0.0081,1,0,432,124,f,3
заходит,заходить,V,7,3,4,0.0255,1455,482,12012,0,0.0238,0,0,854,84,m,1
компьютер,компьютер,S,9,3,4,0.087,1019,214,1606,0,0.0278,1,0,666,36,f,2
чем,что,CON,3,1,5,0.032,1357,678,28202,1,0.022,0,1,1030,91,f,2
дощечке,дощечка,S,7,3,2,0.0731,1098.33,152,1250,0,0.0476,0,0,416,42,f,2
чутко,чутко,ADV,5,2,3,0.0251,1405.5,148,20420,0,0.0079,0,0,1480,127,f,3
шуба,шуба,S,4,2,3,0.0127,1464.33,150,75464,1,0.0169,0,1,1460,177,f,1
переделках,переделка,S,10,4,1,0.038,755.67,174,6284,0,0.0357,0,0,858,84,f,2
появились,появиться,V,9,4,5,0.0479,1192.67,188,10578,0,0.0484,0,0,858,62,f,3
похуже,плохо,ADV,6,3,2,0.0173,1058.33,192,12304,0,0.0114,0,0,1294,176,m,2
белого,белый,A,6,3,4,0.0205,1616.25,212,4800,0,0.0276,0,0,858,145,f,1
ухаживали,ухаживать,V,9,5,3,0.0544,568.33,294,10796,1,0.0484,0,0,858,62,f,2
ничего,ничего,ADV,6,3,4,0.0457,2196.67,376,25624,1,0.0247,1,0,622,81,m,3
летом,летом,ADV,5,2,5,0.0192,1941.5,576,24504,1,0.0081,1,0,576,124,f,2
себя,себя,P,4,2,5,0.0157,1197,664,9804,0,0.0119,0,0,858,168,f,1
голуби,голубь,S,6,2,3,0.0214,1492.8,110,448,0,0.007,1,0,13764,142,f,1
умка,умка,S,4,2,1,0.0218,1662.67,196,8514,0,0.0194,0,0,860,155,f,1
цветов,цветы,S,6,2,4,0.0202,1216.33,504,7120,0,0.0222,0,0,860,135,f,1
жук,жук,S,3,1,3,0.0205,1050,654,7764,0,0.0175,0,0,860,114,f,1
буратино,буратино,S,8,4,2,0.0147,1015.25,130,508,0,0.0223,1,0,862,179,f,1
пищат,пищать,V,5,2,2,0.0219,1369.67,156,24052,0,0.0263,0,0,862,114,m,1
хвостиком,хвостик,S,9,3,3,0.0422,890.33,174,22996,1,0.0345,0,0,862,87,f,3
называют,называть,V,8,3,5,0.0205,1411.5,244,2486,0,0.0237,0,0,862,169,f,1
назвал,назвать,V,7,2,5,0.0327,1512.67,252,3500,0,0.0095,0,0,1484,105,m,1
кинулась,кинуться,V,8,3,3,0.0358,1377.5,356,12544,0,0.0098,0,0,1336,102,f,3
возмущала,возмущать,V,9,4,1,0.0346,1445.5,198,9324,0,0.0087,1,0,198,115,m,1
ничего,ничего,ADV,6,3,4,0.0365,2392,282,29110,1,0.0215,0,1,1067,93,f,3
пёс,пёс,S,3,1,3,0.0127,772,406,64714,1,0.0087,1,0,626,229,f,1
белого,белый,A,6,3,4,0.0135,793.33,418,7694,0,0.0149,0,0,864,201,f,1
увидала,увидать,V,7,3,3,0.0469,1268,450,6624,0,0.0125,1,0,450,80,m,3
работы,работа,S,6,3,5,0.0138,888,124,35990,0,0.0148,0,0,526,203,m,2
современный,современный,A,11,4,4,0.0422,1372.4,132,310,0,0.0135,1,0,2222,74,f,3
человек,человек,S,7,3,5,0.0316,554.75,174,708,0,0.0421,1,0,866,95,f,2
отправляется,отправляться,V,12,5,4,0.0472,902.6,186,13274,1,0.0513,1,0,740,78,f,3
хозяйстве,хозяйство,S,9,3,4,0.0187,1045.67,276,22056,0,0.0055,0,0,2910,182,m,1
собака,собака,S,6,3,5,0.0152,1380.33,282,23710,0,0.018,1,0,866,167,m,1
умкой,умка,S,5,2,1,0.0527,2746,186,2044,0,0.0156,0,0,1182,64,m,3
когда,когда,ADV,5,2,5,0.034,1408,352,4620,0,0.0274,1,0,544,73,m,1
белые,белый,A,5,3,5,0.0226,1597.33,408,39496,0,0.0222,1,0,868,135,f,1
освоил,осваивать,V,6,3,1,0.0235,1169.5,108,31762,1,0.0059,1,0,108,170,f,1
себе,себя,P,4,2,5,0.0233,1080,160,17566,0,0.0077,1,0,1246,130,f,2
горшок,горшок,S,6,2,2,0.0375,1116.33,236,1858,0,0.0125,0,0,236,80,f,3
горшок,горшок,S,6,2,2,0.0141,1186,266,6318,0,0.0157,0,0,870,191,m,2
мясо,мясо,S,4,2,4,0.0164,1587.33,442,20782,0,0.0051,0,0,720,197,f,1
дрозды,дрозд,S,6,1,2,0.0265,1246.5,566,32220,1,0.0194,0,0,870,103,m,1
маленькая,маленький,A,9,4,5,0.0485,1146.5,154,16174,1,0.0513,0,0,872,78,f,1
пищат,пищать,V,5,2,2,0.0266,675.75,216,17438,1,0.0097,0,1,1334,103,f,2
заменяет,заменять,V,8,4,3,0.0158,1667.33,332,25266,0,0.0136,0,0,1648,221,f,1
красные,красный,A,7,3,5,0.0542,2137.75,102,14434,1,0.0548,0,0,874,73,m,3
хватается,хвататься,V,9,4,2,0.0121,1279.25,162,59420,1,0.004,0,1,2926,252,f,1
бывал,быть,V,5,2,4,0.0109,1397,170,11840,0,0.0078,1,0,568,257,m,1
одно,один,NUM,4,2,5,0.0319,697.5,330,8708,0,0.0421,0,0,874,95,f,2
сиди,сидеть,V,4,2,3,0.0095,1267.5,376,56456,0,0.0034,1,0,556,295,m,1
разве,разве,PART,5,2,4,0.0146,1758.6,140,33328,0,0.015,1,0,684,267,f,1
сразу,сразу,ADV,5,2,4,0.0148,1391.5,164,43928,1,0.0065,0,1,1066,153,m,1
называют,называть,V,8,3,5,0.023,1268.75,166,4664,0,0.0072,0,0,1058,139,f,1
белые,белый,A,5,3,5,0.0243,1514,246,38650,1,0.0146,1,0,432,137,f,1
небось,небось,ADV,6,2,3,0.0263,843,254,36190,1,0.029,0,0,876,138,m,2
мяса,мясо,S,4,2,4,0.0253,1323.67,304,25236,1,0.0092,1,1,1514,109,m,2
унесло,уносить,V,6,3,2,0.0165,1380,336,51636,1,0.0152,0,0,876,197,f,1
несёт,нести,V,5,2,4,0.0138,1133,346,30840,0,0.0161,0,0,876,186,f,1
изобрёл,изобретать,V,7,3,3,0.043,1107,532,5140,0,0.0323,0,0,876,62,f,1
вспомнил,вспомнить,V,8,2,5,0.0606,1532.5,178,814,0,0.0317,1,0,392,63,f,3
дикие,дикий,A,5,2,4,0.0218,1494.5,192,13582,0,0.0211,0,0,1018,142,f,1
мышке,мышка,S,5,2,1,0.0346,1108,204,2934,0,0.0349,0,0,878,86,m,2
там,там,P,3,1,5,0.0203,1455.67,320,16486,0,0.009,1,0,320,111,m,1
воде,вода,S,4,2,5,0.0154,1312.5,450,17298,0,0.012,0,0,878,167,m,1
десятков,десяток,S,8,3,4,0.0186,1295.5,128,20928,0,0.0233,1,0,880,172,f,1
лед,S,5,1,476,3,0.0237,970,304,8392,0,0.0154,0,0,1552,130,f,2
заходит,заходить,V,7,3,4,0.0211,1661.33,516,14634,0,0.0207,0,0,882,145,f,1
увидала,увидать,V,7,3,3,0.0386,1678.5,147,103,1,0.0127,0,1,5819,79,f,3
ничего,ничего,ADV,6,3,4,0.0344,993.5,168,30172,1,0.0194,0,1,1040,103,f,3
молодые,молодой,A,7,4,5,0.0236,1117.25,174,22792,1,0.0233,1,0,620,129,m,1
компьютером,компьютер,S,11,4,3,0.0415,1226.25,266,12792,0,0.0533,0,0,884,75,m,1
воркуют,ворковать,V,7,3,1,0.0455,1310.67,394,5036,0,0.0417,0,0,884,72,f,1
городских,городской,A,9,3,4,0.0389,1038,558,16262,1,0.011,0,1,3640,91,f,3
спит,спать,V,4,1,4,0.0138,685.5,152,41098,1,0.0199,0,0,886,201,f,1
буратино,буратино,S,8,4,2,0.0266,865.67,230,568,0,0.0217,1,0,886,138,m,2
клубни,клубень,S,6,2,2,0.051,917.67,230,7122,1,0.0411,0,0,886,73,f,3
одно,один,NUM,4,2,5,0.0218,1342.67,504,9412,0,0.0152,0,0,732,132,m,1
ребенок,ребенок,S,7,3,4,0.0232,1865.33,153,89,1,0.0074,0,1,21277,135,f,2
так,так,P,3,1,5,0.022,1222.33,112,24756,0,0.0238,1,0,888,126,m,2
управляет,управлять,V,9,4,3,0.0497,2326.5,156,18026,0,0.05,0,0,2607,80,m,3
несправедливость,несправедливость,S,16,5,2,0.0526,628.2,168,8260,0,0.0746,0,0,888,67,f,2
десятков,десяток,S,8,3,4,0.0153,1405.2,280,30380,0,0.0195,1,0,770,205,f,1
отправляется,отправляться,V,12,5,4,0.0211,1406.5,284,36310,0,0.0118,1,0,400,169,f,1
пёс,пёс,S,3,1,3,0.0178,1231.5,324,56022,1,0.0065,1,0,324,154,m,2
лед,S,5,1,476,3,0.0349,1946.33,404,5956,0,0.0316,0,0,888,95,f,2
помощью,помощь,S,7,3,5,0.035,1071.67,452,10138,0,0.0349,0,0,888,86,m,2
осталась,оставаться,V,8,3,5,0.0428,1221.67,142,20204,1,0.0132,0,1,1246,76,m,1
реку,река,S,4,2,4,0.0257,1322,214,3992,0,0.0275,0,0,890,109,m,2
выполняет,выполнять,V,9,4,4,0.0127,1051.5,240,25916,0,0.0092,1,0,4380,218,m,1
тёплая,теплый,A,6,3,4,0.0239,951.67,242,38268,1,0.0077,0,1,1100,130,f,2
унесло,уносить,V,6,3,2,0.0188,723.75,242,48988,0,0.0216,1,0,1530,185,f,1
астры,астра,S,5,4,2,0.0551,2260.33,280,13190,1,0.0137,0,1,1164,73,m,3
подумала,подумать,V,8,4,5,0.0214,1215.5,492,11726,1,0.0182,0,0,890,110,f,1
тундру,тундра,S,6,2,2,0.0265,1507.33,500,13602,0,0.0357,0,0,890,84,m,1
белого,белый,A,6,3,4,0.0186,939.5,556,4408,0,0.0109,0,0,890,183,f,1
нём,он,P,3,1,5,0.0167,1667,890,53996,1,0.0064,0,0,890,157,f,2
заходит,заходить,V,7,3,4,0.0484,1279.75,130,6474,0,0.0125,0,0,1488,80,m,3
хватается,хвататься,V,9,4,2,0.0377,2300.33,160,24472,1,0.0323,0,1,1198,93,f,3
маленькая,маленький,A,9,4,5,0.0351,1069.25,270,21752,0,0.0465,0,0,892,86,m,2
щёку,щека,S,4,2,3,0.0167,614.33,296,8158,0,0.0162,0,0,892,185,f,2
лед,S,5,1,476,3,0.0473,2200.25,410,3228,0,0.0513,0,0,892,78,f,3
народ,народ,S,5,2,5,0.018,1868.5,412,6912,0,0.0165,0,0,892,121,m,1
помощью,помощь,S,7,3,5,0.0356,899.33,468,4100,0,0.0357,0,0,892,84,f,2
похожа,похожий,A,6,3,4,0.0216,1121.5,616,37320,1,0.0145,0,0,892,138,f,1
красные,красный,A,7,3,5,0.0498,1030.5,708,17918,0,0.0323,0,0,892,62,f,3
голуби,голубь,S,6,2,3,0.0314,862.2,154,12602,0,0.0385,1,0,716,104,f,3
умке,умке,S,4,2,1,0.0267,1539.5,200,27376,1,0.0238,0,1,1588,84,m,1
через,через,PR,5,2,5,0.0169,1477,206,8590,0,0.0203,0,0,894,197,f,1
хватается,хвататься,V,9,4,2,0.0097,1276.33,390,86406,1,0.0102,0,0,894,295,m,1
трактор,трактор,S,7,2,3,0.0169,1131,404,13062,0,0.0175,0,0,894,171,f,1
хвостиком,хвостик,S,9,3,3,0.0867,1129.67,406,10226,1,0.075,0,0,894,40,f,2
воспитание,воспитание,S,10,4,3,0.0477,2151,204,12562,0,0.0123,1,0,1268,81,m,3
чернильницу,чернильница,S,11,4,2,0.043,1405.5,212,18530,1,0.0349,1,0,608,86,f,3
трудоемкие,трудоемкий,A,10,5,1,0.0563,1313.5,230,8572,0,0.012,0,0,1026,83,f,3
трещит,трещать,V,6,2,3,0.0525,968.67,262,15702,1,0.0345,1,0,528,58,f,2
цветов,цветы,S,6,2,4,0.0174,969.67,308,9592,0,0.0186,0,0,896,161,m,2
жужжит,жужжать,V,6,2,2,0.02,1223.33,502,12152,1,0.0079,0,1,1356,127,m,1
астры,астра,S,5,4,2,0.0469,1212,750,15258,1,0.0282,0,0,896,71,m,1
своё,свой,A,4,2,5,0.0189,683,896,22944,0,0.0054,0,0,896,185,f,1
белые,белый,A,5,3,5,0.016,865,192,56460,1,0.0225,0,0,898,178,f,1
хватается,хвататься,V,9,4,2,0.0387,1075,208,21258,1,0.0375,0,0,898,80,f,3
компьютером,компьютер,S,11,4,3,0.0221,1436,228,7968,1,0.0076,1,1,4162,132,m,1
конь,конь,S,4,1,4,0.0163,1605.25,260,1218,0,0.009,0,0,3434,221,f,1
гладиолусов,гладилоус,S,11,5,1,0.047,1283.67,282,5298,1,0.0423,0,0,898,71,m,1
щёку,щека,S,4,2,3,0.018,1504.67,474,6802,0,0.013,1,0,730,154,m,2
мясо,мясо,S,4,2,4,0.0259,1239.5,760,14826,0,0.0183,0,0,898,109,m,2
может,может,PART,5,2,4,0.0133,697.25,182,46520,0,0.0175,0,0,900,229,f,1
красные,красный,A,7,3,5,0.0234,969.75,278,36472,1,0.0258,0,0,900,155,f,1
жук,жук,S,3,1,3,0.0224,1563,322,9492,0,0.0211,0,0,900,142,f,1
одно,один,NUM,4,2,5,0.0187,1377,360,12892,0,0.0155,1,0,854,129,m,1
голуби,голубь,S,6,2,3,0.0275,1143.67,132,14068,0,0.0291,0,0,902,103,m,1
увидала,увидать,V,7,3,3,0.026,1348.67,172,6988,0,0.0275,0,0,902,109,m,2
сразу,сразу,ADV,5,2,4,0.0223,1466,260,38478,0,0.0069,1,0,710,145,f,3
может,может,PART,5,2,4,0.0103,1576.33,308,63930,1,0.0123,0,0,902,243,f,1
золотая,золотой,A,7,3,4,0.0225,1451.5,124,28716,0,0.007,1,0,904,142,f,1
пищат,пищать,V,5,2,2,0.0484,1415,164,11108,1,0.0128,1,0,164,78,f,3
компьютером,компьютер,S,11,4,3,0.033,647.25,208,16798,1,0.0421,0,0,904,95,f,2
вспомнил,вспомнить,V,8,2,5,0.0602,1184.2,236,898,0,0.0492,1,0,578,61,f,1
траве,трава,S,5,2,4,0.0242,733.67,266,770,0,0.0076,1,0,266,132,f,1
августе,август,S,7,3,4,0.0235,907.25,290,31666,1,0.0258,0,0,904,155,f,1
дрозды,дрозд,S,6,1,2,0.0454,948.5,346,18350,1,0.0482,0,0,904,83,m,2
