modern_name,old_name_sep,id
"Басов, С. А.","Басовъ, С. А.",2880
"Баталин, И. А.","Баталинъ, И. А.",919
"Баталин, И. А.","Баталинъ, И. А.",1488
"Баталин, И. А.","Баталинъ, И. А.",1677
"Баталин, И. А.","Баталинъ, И. А.",2348
"Баталин, И. А.","Баталинъ, И. А.",2348
"Баталин, И. А.","Баталинъ, И. А.",2615
"Баталин, Ф.","Баталинъ, Ѳ.",2334
"Баталин, Ф. А","Баталинъ, Ѳ. А.",352
"Баталин, Ф. А","Баталинъ, Ѳ. А.",442
"Баталин, Ф. А","Баталинъ, Ѳ. А.",855
"Батюшковъ, Ф. Д.","Батюшковъ, Ѳ. Д.",2573
"Бауман, А. О.","Бауманъ, А. О.",576
"Бауман, А. О.","Бауманъ, А. О.",605
"Бауман, А. О.","Бауманъ, А. О.",755
"Бауман, А. О.","Бауманъ, А. О.",765
"Бауман, А. О.","Бауманъ, А. О.",860
"Бауман, А. О.","Бауманъ, А. О.",1149
"Бауман, А. О.","Бауманъ, А. О.",1150
"Бауман, А. О.","Бауманъ, А. О.",1161
"Бауман, А. О.","Бауманъ, А. О.",1193
"Бауман, А. О.","Бауманъ, А. О.",1380
"Бауман, Л. О.","Бауманъ, Л. О.",1397
"Бауманъ, Алексей","Бауманъ, Алексѣй",481
"Бауэр, Франц","Бауэръ, Францъ",1586
Бахирев,"Бахиревъ,",223
"Бахтыгозино, П.","Бахтыгозино, П.",565
"Башуцкий, А. П.","Башуцкій, А. П.",342
"Башуцкий, А. П.","Башуцкій, А. П.",357
"Башуцкий, А. П.","Башуцкій, А. П.",374
"Башуцкий, А. П.","Башуцкій, А. П.",377
"Башуцкий, А. П.","Башуцкій, А. П.",445
"Бебутов, К. А. кн.","Бебутовъ, К. А. кн.",1168
"Беггров, А.","Беггровъ, А.",549
"Беггров, А.","Беггровъ, А.",741
"Бегичев, К. Н.","Бѣгичевъ, К. Н.",1845
"Бегичев, К. Н.","Бѣгичевъ, К. Н.",2823
"Бегичев, К. Н.","Бѣгичевъ, К. Н.",2825
"Безобразов, В.","Безобразовъ, В.",2248
"Безобразов, В. П.","Безобразовъ, В. П.",442
"Безобразов, В. П.","Безобразовъ, В. П.",498
"Безобразов, В. П.","Безобразовъ, В. П.",504
"Бекетов, А.","Бекетовъ, А.",1056
"Бекетов, А.","Бекетовъ, А.",1798
"Бекетов, А.","Бекетовъ, А.",1835
"Бекетов, А. Н.","Бекетовъ, А. Н.",14
"Бекетов, А. Н.","Бекетовъ, А. Н.",688
"Бекетов, П. П.","Бекетовъ, П. П.",122
"Бекетов, П. П.","Бекетовъ, П. П.",134
"Беккер, Н. М.","Беккеръ, Н. М.",1891
"Беклешов, Н. А.","Беклешовъ, Н. А.",1414
"Беланский, М. И.","Бѣланскій, М. И.",2791
"Беликов, В. В.","Бѣликовъ, В. В.",376
"Белинсгаузен, Иван, Барон","Белинсгаузенъ, Иванъ, Баронъ",203
"Белобород, В.","Бѣлобородъ, В.",2366
"Беловодский, Я. В.","Бѣловодскій, Я. В.",2562
"Беловодский, Я. В.","Бѣловодскій, Я. В.",2563
"Белогостицкий, В.","Бѣлогостицкій, В.",2811
"Белозерская, Над. Алек.","Бѣлозерская, Над. Алек.",1276
"Белозерский, В.","Бѣлозерскій, В.",697
"Белявин, Л.","Бѣлявинъ, Л.",293
"Беляев, А.","Бѣляевъ, А.",1551
"Беляев, А.","Бѣляевъ, А.",1665
"Беляев, А. И.","Бѣляевъ, А. И.",276
"Беляев, А. И.","Бѣляевъ, А. И.",276
"Беляев, А. М.","Бѣляевъ, А. М.",425
"Беляев, И. Д.","Бѣляевъ, И. Д.",491
"Беляев, И. С.","Бѣляевъ, И. С.",2587
"Беляков, Ф.","Бѣляковъ, Ѳ.",1263
"Белянкин, Л. Л.","Бѣлянкинъ, Л. Л.",1876
"Бендерский, П. К.","Бендерскій, П. К.",1591
"Бенземан, А. А.","Бенземанъ, А. А.",950
"Бенземан, А. А.","Бенземанъ, А. А.",1279
"Бенземан, В.","Бенземанъ, В.",717
"Беницкий, А. П.","Беницкій, А. П.",190
"Бенуа, Л. Н.","Бенуа, Л. Н.",1111
"Бенуа, Л. Н.","Бенуа, Л. Н.",1111
"Бенуа, Л. Н.","Бенуа, Л. Н.",1494
"Бенуа, Н. Л.","Бенуа, Н. Л.",804
"Берг, И.","Бергъ, И.",842
"Берг, Ник","Бергъ, Ник",797
"Берггольц, А.","Берггольцъ, А.",931
"Бергман, А.","Бергманъ, А.",1773
"Бергъ, Ф. Н.","Бергъ, Ѳ. Н.",535
"Бергъ, Ф. Н.","Бергъ, Ѳ. Н.",535
"Бергъ, Ф. Н.","Бергъ, Ѳ. Н.",1042
"Бергъ, Ф. Н.","Бергъ, Ѳ. Н.",1089
"Бергъ, Ф. Н.","Бергъ, Ѳ. Н.",2414
"Бергъ, Ф. Н.","Бергъ, Ѳ. Н.",2587
"Бергъ, Ф. Н.","Бергъ, Ѳ. Н.",2871
"Бердяева, Ел.","Бердяева, Ел.",2126
"Березкинъ, Ф. И.","Березкинъ, Ѳ. И.",2305
Березовский В. А.,Березовскій В. А.,2002
Березовский В. А.,Березовскій В. А.,2002
Березовский В. А.,Березовскій В. А.,2313
"Беренс, Алекс.","Беренсъ, Алекс.",1291
"Беренштам, Г.","Беренштамъ, Г.",959
"Береснев, М. В.","Бересневъ, М. В.",1104
"Берзенев, Н.","Берзеневъ, Н.",475
"Берзенев, Н. Г.","Берзеневъ, Н. Г.",507
"Берк, В. В.","Беркъ, В. В.",1777
"Берман, Лаз. Яковл.","Берманъ, Лаз. Яковл.",1391
"Бернадский, М. П.","Бернадскій, М. П.",2123
"Бернард, А. И.","Бернардъ, А. И.",437
"Бернард, А. И.","Бернардъ, А. И.",463
"Бернард, А. И.","Бернардъ, А. И.",1330
"Бернард, М. И.","Бернардъ, М. И.",437
"Бернард, М. И.","Бернардъ, М. И.",463
"Бернард, Н. М.","Бернардъ, Н. М.",437
"Бернард, Н. М.","Бернардъ, Н. М.",437
"Бернард, Н. М.","Бернардъ, Н. М.",1330
"Бернард, Н. М.","Бернардъ, Н. М.",1330
Бернардо,"Бернардо,",2633
"Бернгард, К. И.","Бернгардъ, К. И.",437
"Бернгард, К. И.","Бернгардъ, К. И.",1330
"Бернер, В.","Бернеръ, В.",2696
"Бернштейн, Н. О.","Бернштейнъ, Н. О.",703
"Бернштейн, Симон","Бернштейнъ, Симонъ",1651
"Берс, П. А.","Берсъ, П. А.",1465
"Бершадский, Л. Я.","Бершадскій, Л. Я.",2763
"Бессель, В. В.","Бессель, В. В.",1119
"Бессель, В. В.","Бессель, В. В.",1823
"Бессель, В. В.","Бессель, В. В.",1824
"Бестужев-Рюмин, В. Н.","Бестужевъ-Рюминъ, В. Н.",696
"Бестужев-Рюмин, В. Н.","Бестужевъ-Рюминъ, В. Н.",696
"Бестужев-Рюмин, К. Н.","Бестужевъ-Рюминъ, К. Н.",688
